Summary statistics for numeric features:
                 id   diagnosis  radius_mean  ...  concave points_worst  symmetry_worst  fractal_dimension_worst
count  5.690000e+02  569.000000   569.000000  ...            569.000000      569.000000               569.000000
mean   3.037183e+07    0.372583    14.127292  ...              0.114606        0.290076                 0.083946
std    1.250206e+08    0.483918     3.524049  ...              0.065732        0.061867                 0.018061
min    8.670000e+03    0.000000     6.981000  ...              0.000000        0.156500                 0.055040
25%    8.692180e+05    0.000000    11.700000  ...              0.064930        0.250400                 0.071460
50%    9.060240e+05    0.000000    13.370000  ...              0.099930        0.282200                 0.080040
75%    8.813129e+06    1.000000    15.780000  ...              0.161400        0.317900                 0.092080
max    9.113205e+08    1.000000    28.110000  ...              0.291000        0.663800                 0.207500

[8 rows x 32 columns]
